Date,Status,OptimizedPredCost,ActualCost,OptimizedTimeSpent,ActualTimeSpent,OptimizedUsedLines,ActualUsedLines,ChangeCost,ChangeTimeSpent,ChangeUsedLines
2024-01-01,1,7201946.722609266,5848933.747993921,6749.925465300001,6207.713611111111,24,16,-23.132643194657554,-8.734485644092715,-8
2024-02-01,1,4882543.853174385,5315269.84872459,4841.245195060001,5784.264722222223,24,18,8.14118582622928,16.30318756918735,-6
2024-04-01,1,5413492.120936226,5834992.787090786,5672.8871148299995,6847.4416666666675,23,17,7.22367073164304,17.153188139658017,-6
2024-05-01,1,5345466.979816707,7912268.041835671,6187.1520751,7011.143333333333,23,18,32.440774863125824,11.75259467761559,-5
2024-06-01,1,6255353.016836673,6671532.1681613745,6014.286829,6850.10611111111,25,18,6.238134521944416,12.201552334428555,-7
2024-07-01,1,4166619.1782412976,4725463.377307579,5311.6795865,6491.173055555555,21,18,11.82623066660382,18.170729064850143,-3
2024-08-01,1,4023949.68109269,4196207.11104892,5368.2180493,6319.722500000001,20,17,4.10507454464446,15.056111256467364,-3
2023-12-01,1,2259195.316565081,2457348.799945034,3159.925788542,3257.5625000000005,23,17,8.06371010026682,2.9972321776788657,-6
2023-11-01,1,3829983.5066516786,4470471.701832246,4388.6967877,5475.9511111111115,21,13,14.327083088750125,19.855077252333242,-8
2023-10-01,1,7356116.198134595,6731678.1379717775,5525.838258500001,6982.841111111112,22,17,-9.276112840875616,20.86547337147232,-5
2023-09-01,1,3832287.890331757,5427197.284981911,4679.663831700001,5954.006666666666,23,15,29.387348771410473,21.40311400894186,-8
2023-08-01,1,3412761.0378759727,4539570.806687495,3960.9105044999997,5838.8727777777785,17,13,24.821944998667178,32.163096281616774,-4
2023-06-01,1,3911817.6201444413,3638601.1765729026,4700.22394865,4253.2575,21,13,-7.508831837098273,-10.50880292693308,-8
2023-05-01,1,3707585.6070036413,4682619.267836319,3940.4025204,4663.0938888888895,20,13,20.82239885548517,15.498108888840978,-7
2023-04-01,1,4431629.045981519,5723381.561589369,3843.4772271611005,6410.620277777779,20,16,22.569743109161735,40.04515849294026,-4
2023-03-01,1,3292089.0459740306,3468155.1237293063,3105.9461623999996,4184.758333333332,17,14,5.0766494425414255,25.779557264756413,-3
2023-07-01,1,4048424.8665969605,4591324.813814183,3614.905616669,3852.932222222222,22,13,11.824472657298568,6.177804119687769,-9
